check_id,label,category_id,category_name,raw_value,normalized,tool,deduplicated,timestamp,environment_label,runtime_seconds
checking_whether_username_is_admin_and_netbios_name_is_systemit,Checking whether username is 'admin' and NetBIOS name is 'SystemIT',vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_whether_username_is_admin_and_dns_hostname_is_klone_x64_pc,Checking whether username is 'admin' and DNS hostname is 'KLONE_X64-PC',vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_whether_username_is_john_and_two_sandbox_files_exist,Checking whether username is 'John' and two sandbox files exist,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_whether_four_known_sandbox_email_file_paths_exist,Checking whether four known sandbox 'email' file paths exist,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_whether_three_known_sandbox_foobar_files_exist,Checking whether three known sandbox 'foobar' files exist,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_processes_looking_glass_host_exe,Checking processes looking-glass-host.exe,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_processes_vddsystray_exe,Checking processes VDDSysTray.exe,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_number_of_processors_in_machine,Checking Number of processors in machine,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_interupt_descriptor_table_location,Checking Interupt Descriptor Table location,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_local_descriptor_table_location,Checking Local Descriptor Table location,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_global_descriptor_table_location,Checking Global Descriptor Table location,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_store_task_register,Checking Store Task Register,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_number_of_cores_in_machine_using_wmi,Checking Number of cores in machine using WMI,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_hard_disk_size_using_wmi,Checking hard disk size using WMI,vm_checks,VM Detection Checks,BAD,detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_hard_disk_size_using_deviceiocontrol,Checking hard disk size using DeviceIoControl,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_setupdi_diskdrive,Checking SetupDi_diskdrive,vm_checks,VM Detection Checks,BAD,detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_mouse_movement,Checking mouse movement,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_lack_of_user_input,Checking lack of user input,vm_checks,VM Detection Checks,BAD,detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_memory_space_using_globalmemorystatusex,Checking memory space using GlobalMemoryStatusEx,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_disk_size_using_getdiskfreespaceex,Checking disk size using GetDiskFreeSpaceEx,vm_checks,VM Detection Checks,BAD,detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_if_cpu_hypervisor_field_is_set_using_cpuid_0x1,Checking if CPU hypervisor field is set using cpuid(0x1),vm_checks,VM Detection Checks,BAD,detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_hypervisor_vendor_using_cpuid_0x40000000,Checking hypervisor vendor using cpuid(0x40000000),vm_checks,VM Detection Checks,BAD,detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
check_if_machine_is_hosted_on_cloud,Check if Machine is hosted on Cloud,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
check_if_time_has_been_accelerated,Check if time has been accelerated,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
vm_driver_services,VM Driver Services,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_serialnumber_from_bios_using_wmi,Checking SerialNumber from BIOS using WMI,vm_checks,VM Detection Checks,BAD,detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_model_from_computersystem_using_wmi,Checking Model from ComputerSystem using WMI,vm_checks,VM Detection Checks,BAD,detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_manufacturer_from_computersystem_using_wmi,Checking Manufacturer from ComputerSystem using WMI,vm_checks,VM Detection Checks,BAD,detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_current_temperature_using_wmi,Checking Current Temperature using WMI,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
